timestamp,open,high,low,close,volume
2018-07-26,2835.4900,2845.5701,2835.2600,2837.4399,3653330000
2018-07-25,2817.7300,2848.0300,2817.7300,2846.0701,3553010000
2018-07-24,2820.6799,2829.9900,2811.1201,2820.3999,3417530000
2018-07-23,2799.1699,2808.6101,2795.1399,2806.9800,2907430000
2018-07-20,2804.5500,2809.7000,2800.0100,2801.8301,3230210000
2018-07-19,2809.3701,2812.0500,2799.7700,2804.4900,3266700000
2018-07-18,2811.3501,2816.7600,2805.8899,2815.6201,3089780000
2018-07-17,2789.3401,2814.1899,2789.2400,2809.5500,3050730000
2018-07-16,2797.3601,2801.1899,2793.3899,2798.4299,2812230000
2018-07-13,2796.9299,2804.5300,2791.6899,2801.3101,2614000000
2018-07-12,2783.1399,2799.2200,2781.5300,2798.2900,2821690000
2018-07-11,2779.8201,2785.9099,2770.7700,2774.0200,2964740000
2018-07-10,2788.5601,2795.5801,2786.2400,2793.8401,3063850000
2018-07-09,2775.6201,2784.6499,2770.7300,2784.1699,3050040000
2018-07-06,2737.6799,2764.4099,2733.5200,2759.8201,2554780000
2018-07-05,2724.1899,2737.8301,2716.0200,2736.6101,2953420000
2018-07-03,2733.2700,2736.5801,2711.1599,2713.2200,1911470000
2018-07-02,2704.9500,2727.2600,2698.9500,2726.7100,3073650000
2018-06-29,2727.1299,2743.2600,2718.0300,2718.3701,3565620000
2018-06-28,2698.6899,2724.3401,2691.9900,2716.3101,3428140000
2018-06-27,2728.4500,2746.0901,2699.3799,2699.6299,3776090000
2018-06-26,2722.1201,2732.9099,2715.6001,2723.0601,3555090000
2018-06-25,2742.9399,2742.9399,2698.6699,2717.0701,3655080000
2018-06-22,2760.7900,2764.1699,2752.6799,2754.8799,5450550000
2018-06-21,2769.2800,2769.2800,2744.3899,2749.7600,3300060000
2018-06-20,2769.7300,2774.8601,2763.9099,2767.3201,3327600000
2018-06-19,2752.0100,2765.0500,2743.1899,2762.5901,3661470000
2018-06-18,2765.7900,2774.9900,2757.1201,2773.7500,3287150000
2018-06-15,2777.7800,2782.8101,2761.7300,2779.6599,5428790000
2018-06-14,2783.2100,2789.0601,2776.5200,2782.4900,3526890000
2018-06-13,2787.9399,2791.4700,2774.6499,2775.6299,3779230000
2018-06-12,2785.6001,2789.8000,2778.7800,2786.8501,3401010000
2018-06-11,2780.1799,2790.2100,2780.1699,2782.0000,3232330000
2018-06-08,2765.8401,2779.3899,2763.5901,2779.0300,3123210000
2018-06-07,2774.8401,2779.8999,2760.1599,2770.3701,3711330000
2018-06-06,2753.2500,2772.3899,2748.4600,2772.3501,3651640000
2018-06-05,2748.4600,2752.6101,2739.5100,2748.8000,3517790000
2018-06-04,2741.6699,2749.1599,2740.5400,2746.8701,3376510000
2018-06-01,2718.7000,2736.9299,2718.7000,2734.6201,3684130000
2018-05-31,2720.9800,2722.5000,2700.6799,2705.2700,4235370000
2018-05-30,2702.4299,2729.3401,2702.4299,2724.0100,3561050000
2018-05-29,2705.1101,2710.6699,2676.8101,2689.8601,3736890000
2018-05-25,2723.6001,2727.3601,2714.9900,2721.3301,2995260000
2018-05-24,2730.9399,2731.9700,2707.3799,2727.7600,3256030000
2018-05-23,2713.9800,2733.3301,2709.5400,2733.2900,3326290000
2018-05-22,2738.3401,2742.2400,2721.8799,2724.4399,3366310000
2018-05-21,2735.3899,2739.1899,2725.7000,2733.0100,3019890000
2018-05-18,2717.3501,2719.5000,2709.1799,2712.9700,3368690000
2018-05-17,2719.7100,2731.9600,2711.3601,2720.1299,3475400000
2018-05-16,2712.6201,2727.7600,2712.1699,2722.4600,3202670000
2018-05-15,2718.5901,2718.5901,2701.9099,2711.4500,3290680000
2018-05-14,2738.4700,2742.1001,2725.4700,2730.1299,2972660000
2018-05-11,2722.7000,2732.8601,2717.4500,2727.7200,2862700000
2018-05-10,2705.0200,2726.1101,2704.5400,2723.0701,3333050000
2018-05-09,2678.1201,2701.2700,2674.1399,2697.7900,3909500000
2018-05-08,2670.2600,2676.3401,2655.2000,2671.9199,3717570000
2018-05-07,2680.3401,2683.3501,2664.7000,2672.6299,3237960000
2018-05-04,2621.4500,2670.9299,2615.3201,2663.4199,3327220000
2018-05-03,2628.0801,2637.1399,2594.6201,2629.7300,3851470000
2018-05-02,2654.2400,2660.8701,2631.7000,2635.6699,4010770000
2018-05-01,2642.9600,2655.2700,2625.4099,2654.8000,3559850000
2018-04-30,2682.5100,2682.8701,2648.0400,2648.0500,3734530000
2018-04-27,2675.4700,2677.3501,2659.0100,2669.9099,3219030000
2018-04-26,2651.6499,2676.4800,2647.1599,2666.9399,3665720000
2018-04-25,2634.9199,2645.3000,2612.6699,2639.3999,3499440000
2018-04-24,2680.8000,2683.5500,2617.3201,2634.5601,3706740000
2018-04-23,2675.3999,2682.8601,2657.9900,2670.2900,3017480000
2018-04-20,2692.5601,2693.9399,2660.6101,2670.1399,3388590000
2018-04-19,2701.1599,2702.8401,2681.8999,2693.1299,3349370000
2018-04-18,2710.1101,2717.4900,2703.6299,2708.6399,3383410000
2018-04-17,2692.7400,2713.3401,2692.0500,2706.3899,3234360000
2018-04-16,2670.1001,2686.4900,2665.1599,2677.8401,3019700000
2018-04-13,2676.8999,2680.2600,2645.0500,2656.3000,2960910000
2018-04-12,2653.8301,2674.7200,2653.8301,2663.9900,3021320000
2018-04-11,2643.8899,2661.4299,2639.2500,2642.1899,3020760000
2018-04-10,2638.4099,2665.4500,2635.7800,2656.8701,3543930000
2018-04-09,2617.1799,2653.5500,2610.7900,2613.1599,3062960000
2018-04-06,2645.8201,2656.8799,2586.2700,2604.4700,3299700000
2018-04-05,2657.3601,2672.0801,2649.5801,2662.8401,3178970000
2018-04-04,2584.0400,2649.8601,2573.6101,2644.6899,3350340000
2018-04-03,2592.1699,2619.1399,2575.4900,2614.4500,3392810000
2018-04-02,2633.4500,2638.3000,2553.8000,2581.8799,3598520000
2018-03-29,2614.4099,2659.0701,2609.7200,2640.8701,3565990000
2018-03-28,2611.3000,2632.6499,2593.0601,2605.0000,3864500000
2018-03-27,2667.5701,2674.7800,2596.1201,2612.6201,3706350000
2018-03-26,2619.3501,2661.3601,2601.8101,2658.5500,3511100000
2018-03-23,2646.7100,2657.6699,2585.8899,2588.2600,3815080000
2018-03-22,2691.3601,2695.6799,2641.5901,2643.6899,3739800000
2018-03-21,2714.9900,2739.1399,2709.7900,2711.9299,3415510000
2018-03-20,2715.0500,2724.2200,2710.0500,2716.9399,3261030000
2018-03-19,2741.3799,2741.3799,2694.5901,2712.9199,3302130000
2018-03-16,2750.5701,2761.8501,2749.9700,2752.0100,5372340000
2018-03-15,2754.2700,2763.0300,2741.4700,2747.3301,3500330000
2018-03-14,2774.0601,2777.1101,2744.3799,2749.4800,3391360000
2018-03-13,2792.3101,2801.8999,2758.6799,2765.3101,3301650000
2018-03-12,2790.5400,2796.9800,2779.2600,2783.0200,3185020000
2018-03-09,2752.9099,2786.5701,2751.5400,2786.5701,3364100000
2018-03-08,2732.7500,2740.4500,2722.6499,2738.9700,3212320000
2018-03-07,2710.1799,2730.6001,2701.7400,2726.8000,3393270000
2018-03-06,2730.1799,2732.0801,2711.2600,2728.1201,3370690000
